"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"AT5G62790","DXR|PDE129","0.231514093","0.051703848","0.2280478667"
"AT4G35520","ATMLH3|MLH3","0.6017277383","0.051776596","0.2282502845"
"AT3G22990","LFR","0.1141465081","0.0518486173","0.228370365"
"AT5G06230","TBL9","-0.3125883968","0.052051979","0.2290682363"
"AT1G80710","DRS1","0.2979441302","0.0521603708","0.2292515097"
"AT3G54110","ATPUMP1|ATUCP1|PUMP1|UCP|UCP1","-0.1287081809","0.0523270107","0.2296444265"
"AT1G71750","HGPT","0.2032793239","0.0524424612","0.2298448519"
"AT3G46900","COPT2","-0.6325475413","0.0525310209","0.2299460896"
"AT2G01450","ATMPK17|MPK17","-0.2406464541","0.0525558023","0.229956825"
"AT2G43360","BIO2|BIOB|EMB49","0.2628652191","0.0531744273","0.2317820364"
"AT1G12860","ICE2|SCRM2","0.5524898933","0.0531776968","0.2317820364"
"AT2G24500","FZF|REIL2|STCH4","0.1644485918","0.0533095919","0.2321584926"
"AT3G22370","AOX1A|ATAOX1A|AtHSR3|HSR3","0.3108199551","0.0533601706","0.2322597525"
"AT5G49570","AtPNG1|PNG1","-0.1419339116","0.0535011589","0.2327145257"
"AT2G36910","ABCB1|ATPGP1|PGP1","0.2369455796","0.053535592","0.2327451875"
"AT2G05630","ATG8D","-0.2118347608","0.0537341274","0.2333298332"
"AT3G13170","ATSPO11-1|SPO11-1","0.5938318365","0.0537569276","0.2333890923"
"AT3G04460","APM4|ATPEX12|PEX12","-0.1535274288","0.0539243895","0.2338808732"
"AT5G54640","ATHTA1|HTA1|RAT5","-0.183245758","0.0539770706","0.2340052957"
"AT1G07130","ATSTN1|STN1","-0.3885002335","0.054057001","0.2342929476"
"AT1G16010","AtMGT2|AtMRS2-1|MGT2|MRS2-1","0.1700051418","0.0541505035","0.2345413505"
"AT4G39350","ATCESA2|ATH-A|CESA2","0.21055071","0.0541715142","0.2345898894"
"AT2G38540","ATLTP1|AtLtpI-4|LP1|LTP1","0.9175030363","0.0541975156","0.2346626341"
"AT1G18800","NRP2","0.2256977477","0.0543010968","0.2350429968"
"AT2G22490","ATCYCD2;1|CYCD2;1","0.2172914276","0.0543236564","0.2350429968"
"AT1G55620","ATCLC-F|CLC-F|CLCF","0.1734448168","0.0544301638","0.2353103283"
"AT1G77720","PPK1","0.2207482914","0.0544596737","0.2353580947"
"AT5G63910","FCLY","-0.170240508","0.0545337949","0.2355985604"
"AT4G19170","CCD4|NCED4","0.6801330805","0.0546613159","0.2358768256"
"AT4G21380","ARK3|RK3","1.0777331362","0.0550073507","0.2366692844"
"AT4G20140","GSO1|SGN3","0.2868203274","0.0550233087","0.2366692844"
"AT5G42580","CYP705A12","-0.6336836978","0.0553241139","0.2372962479"
"AT3G43190","ATSUS4|SUS4","-0.5609276422","0.0558632476","0.2388331802"
"AT1G01690","ATPRD3|PRD3","0.2111507093","0.0560074673","0.2393019966"
"AT5G48410","ATGLR1.3|GLR1.3","-0.6141319007","0.056283217","0.2400708364"
"AT5G22830","ATMGT10|GMN10|MGT10|MRS2-11","0.2249458861","0.0564335785","0.2404429742"
"AT1G16400","CYP79F2","0.9910134951","0.0564849323","0.2405221375"
"AT4G31770","ATDBR1|DBR1","0.207672121","0.0564941204","0.2405221375"
"AT3G14225","GLIP4","-0.6898509279","0.0566440994","0.2409595005"
"AT2G04270","RNE|RNEE/G","0.3832040459","0.0567196203","0.2412405135"
"AT5G40850","AtUPM1|UPM1","0.270186984","0.0567779271","0.2414079682"
"AT4G14700","ATORC1A|ORC1A","-0.4355985666","0.0568305994","0.2414708586"
"AT1G19920","APS2|ASA1|ATPS2","0.1652455447","0.0570543271","0.2421620586"
"AT3G13870","GOM8|RHD3","0.1107830861","0.0570639195","0.2421620586"
"AT5G48030","GFA2","0.2021183345","0.0570977298","0.2421620586"
"AT5G27320","ATGID1C|GID1C","-0.2503797717","0.0570977448","0.2421620586"
"AT3G22880","ARLIM15|ATDMC1|DMC1","0.5048369083","0.0571686736","0.2423016686"
"AT3G43800","ATGSTU27|GSTU27","-0.2967937266","0.0572808328","0.2426157268"
"AT2G37090","IRX9","0.4853694954","0.0573022891","0.242666296"
"AT1G07110","ATF2KP|F2KP|FKFBP","0.1558966179","0.0574691443","0.2430902858"
"AT2G29530","AtTIM10|TIM10","0.2244878111","0.0575254303","0.2431853376"
"AT3G19050","POK2","0.3333457052","0.0577716064","0.2438841754"
"AT2G03590","ATUPS1|UPS1","-0.2908168905","0.0579367332","0.2443365905"
"AT4G34230","ATCAD5|CAD-5|CAD5","0.2651254514","0.0580500467","0.2445333043"
"AT3G28730","ATHMG|HMG|NFD|SSRP1","0.1243939646","0.0582426036","0.245020608"
"AT1G17050","AtSPS2|SPS2","0.2118780271","0.0583135543","0.2451639354"
"AT5G56760","ATSERAT1;1|SAT-52|SAT5|SERAT1;1","0.203126235","0.0583619495","0.2452468759"
"AT2G25080","ATGPX1|GPX1|GPXL1","-0.2095552744","0.0586771991","0.2459157169"
"AT4G14440","ATECI3|ECI3|HCD1","0.7508960999","0.0587266606","0.2460421283"
"AT3G19580","AZF2|ZF2","-0.4435252725","0.0589860138","0.2467959176"
"AT1G56550","RGXT3","-0.4218680814","0.0590648759","0.2470412044"
"AT3G20090","CYP705A18","-0.2522290168","0.0591428045","0.2470412044"
"AT1G68990","MGP3|RPOTm","0.1903546457","0.0593334261","0.2475267831"
"AT3G61070","PEX11E","-0.1669261342","0.0594173129","0.2477490164"
"AT5G55810","AtNMNAT|NMNAT","0.2071751092","0.0594201036","0.2477490164"
"AT2G47600","ATMHX|ATMHX1|MHX|MHX1","-0.2591099585","0.0596764592","0.248547769"
"AT4G15380","CYP705A4","-0.4669054123","0.0596829476","0.248547769"
"AT3G46440","UXS5","-0.2558069521","0.0597857893","0.2487627373"
"AT1G14610","TWN2|VALRS","0.1531408483","0.0601341016","0.2496417003"
"AT4G27630","GTG2","0.1937754497","0.0610081278","0.2521017299"
"AT1G14350","AtMYB124|FLP|MYB124","0.2088720091","0.061013404","0.2521017299"
"AT2G42850","CYP718","-0.5275225438","0.061039825","0.2521291847"
"AT5G35590","PAA1","0.1341043767","0.0612513819","0.2527573614"
"AT3G20630","ATUBP14|DA3|PER1|TARANI|TNI|TTN6|UBP14","0.1391809232","0.0622045579","0.2553425365"
"AT3G61650","TUBG1","0.223291923","0.0628510065","0.2570274324"
"AT4G17770","ATTPS5|TPS5","0.2095042411","0.0628607369","0.2570274324"
"AT4G32700","POLQ|TEB","0.2576536382","0.0629523545","0.2572586089"
"AT1G07880","ATMPK13","0.7138861215","0.0630181236","0.2573783758"
"AT5G05620","ATGCP2|GCP2|TUBG2","0.2000247759","0.0630412258","0.2573783758"
"AT5G53890","AtPSKR2|PSKR2","0.2738531392","0.063083763","0.2573783758"
"AT5G26000","AtTGG1|BGLU38|TGG1","-1.2815779969","0.0631614164","0.2574482126"
"AT5G57110","ACA8|AT-ACA8","0.2047940952","0.0633044143","0.2578491942"
"AT3G10870","ATMES17|MES17","-0.6813297065","0.0636189872","0.2586759584"
"AT3G06510","ATSFR2|SFR2","0.229182987","0.0636586215","0.2587958436"
"AT5G51430","COG7|EYE","0.1422358768","0.0637228953","0.2588984274"
"AT1G69640","SBH1","-0.1402017404","0.0637237004","0.2588984274"
"AT5G52250","EFO1|RUP1","0.6582014616","0.0638145333","0.2590167096"
"AT3G10050","OMR1","0.2285948341","0.0641163667","0.2597869248"
"AT3G24010","ATING1|ING1","0.2184499738","0.0641553414","0.2599035424"
"AT3G46230","ATHSP17.4|HSP17.4","-1.3052710566","0.0642252872","0.2601042524"
"AT3G54890","LHCA1","0.5472123446","0.064699983","0.2613214977"
"AT1G48630","RACK1B|RACK1B_AT","0.2518811348","0.064700079","0.2613214977"
"AT4G29940","PRHA","0.1848506697","0.0647928331","0.2615718267"
"AT5G23300","PYRD","0.2791831997","0.0653365069","0.2629755727"
"AT4G09010","APX4|TL29","-0.520087665","0.0653560148","0.2630125735"
"AT1G72560","PSD","0.1988669245","0.0655624129","0.2635935674"
"AT3G06850","BCE2|DIN3|LTA1","-0.2687820611","0.0657299939","0.2641007541"
"AT5G43900","ATMYA2|MYA2|XI-2|XI-6","0.1418523297","0.0658880879","0.2644629323"
"AT4G30980","DROP2|LRL2","-0.3334271659","0.0663091835","0.2656326099"
"AT1G62750","ATSCO1|ATSCO1/CPEF-G|SCO1","0.3642028834","0.0663949722","0.2658509739"
"AT3G51910","AT-HSFA7A|HSFA7A","-0.3253314854","0.0666110391","0.2663397011"
"AT5G07130","LAC13","0.3333958227","0.0666941805","0.2664214653"
"AT1G68100","IAR1","-0.1675868695","0.066794681","0.266614085"
"AT4G05200","CRK25","-0.4995247836","0.0668470503","0.2667303426"
"AT2G32400","ATGLR3.7|GLR3.7|GLR5","0.3274871878","0.067066531","0.2672807766"
"AT3G60220","ATL4|TL4","-0.2786651302","0.0670990142","0.2672849029"
"AT2G47980","ATSCC3|SCC3","0.1279223504","0.0672271919","0.2676282495"
"AT3G11650","NHL2","0.2427852588","0.0674688733","0.2682971507"
"AT5G04510","ATPDK1|PDK1","0.194890945","0.0675175969","0.2684424593"
"AT4G25630","ATFIB2|FIB2","0.2988251889","0.0675547647","0.2684424593"
"AT1G48520","GATB","0.2417662848","0.0676083242","0.2685166747"
"AT1G55900","EMB1860|TIM50","0.202285474","0.0678497216","0.2690690479"
"AT3G14290","PAE2","0.1188249155","0.0680625946","0.2695783646"
"AT3G07100","AtSEC24A|ERMO2|SEC24A","-0.1390289153","0.0684540195","0.2706529059"
"AT5G08160","ATPK3|PK3","-0.1198095548","0.0685589921","0.270742592"
"AT4G09800","RPS18C","0.1750598425","0.0686177406","0.2708801905"
"AT5G64610","HAM1","0.106112723","0.0686419667","0.2708809715"
"AT3G07560","APM2|PEX13","-0.1541136698","0.0687110962","0.2710062087"
"AT2G01570","RGA|RGA1|RGA24","0.1642749061","0.0687240625","0.2710062087"
"AT1G25580","ANAC008|SOG1","0.1482954885","0.0692521204","0.2726668571"
"AT3G03720","AtCAT4|CAT4","0.1660207194","0.0693541462","0.2729365527"
"AT3G63300","FKD1","0.2964173735","0.0694221329","0.272988639"
"AT3G25520","ATL5|OLI5|PGY3|RPL5A","0.1547920407","0.0695864961","0.2733923693"
"AT3G19710","BCAT4","0.9913966579","0.0696997254","0.2737107037"
"AT1G30400","ABCC1|ATABCC1|ATMRP1|EST1|MRP1","-0.1580340148","0.0697671714","0.2738297695"
"AT4G01480","AtPPa5|PPa5","-0.3512897306","0.0698524274","0.274014953"
"AT4G17870","PYR1|RCAR11","0.2795182661","0.069917801","0.2741870334"
"AT4G32410","ANY1|AtCESA1|CESA1|RSW1","0.1456123639","0.0701595079","0.2747545896"
"AT2G45690","ATPEX16|PEX16|SSE|SSE1","-0.1523793317","0.0704605758","0.2754682247"
"AT4G15300","CYP702A2","-0.8183215507","0.0706896609","0.2759006448"
"AT2G40320","TBL33","0.3243466583","0.0712071366","0.2770710906"
"AT2G17260","ATGLR2|ATGLR3.1|GLR2|GLR3.1","-0.3570323264","0.071459209","0.2777541023"
"AT1G43850","SEU","0.1717961658","0.0715611275","0.2780654724"
"AT1G72330","ALAAT2","0.2838598449","0.0716404259","0.2782887843"
"AT1G48370","YSL8","-0.175870317","0.0717070852","0.2784486882"
"AT1G10170","ATNFXL1|NFXL1","0.2335743434","0.0717416441","0.2785122475"
"AT1G06390","ATGSK1|ATSK2-3|ATSK22|BIL2|GSK1|SK22","-0.0929148031","0.0718192746","0.2787711773"
"AT3G60830","ARP7|ATARP7","0.1590545153","0.0719529368","0.2790775756"
"AT4G16760","ACX1|ATACX1","-0.2289405605","0.0721481393","0.279622018"
"AT1G66840","PMI2|WEB2","0.6171034938","0.0722054855","0.2798017432"
"AT2G27550","ATC","0.4114041614","0.0723616606","0.2801626403"
"AT1G07725","ATEXO70H6|EXO70H6","-1.3557519581","0.0724822121","0.2804132836"
"AT3G06720","AIMP|AT-IMP|ATKAP|IMPA-1|IMPA1","0.1571233128","0.0725749576","0.2805938239"
"AT4G23920","ATUGE2|UGE2","-0.3198633813","0.0726418177","0.2806810597"
"AT1G02440","ARFD1A|ATARFD1A","-0.4775015861","0.0726621932","0.2806810597"
"AT5G39190","ATGER2|GER2|GLP2A","1.6347203811","0.0726855846","0.2806810597"
"AT2G30010","TBL45","0.3837854779","0.0729415731","0.2811263198"
"AT4G25240","SKS1","0.2568875037","0.073227032","0.2817069806"
"AT4G31160","DCAF1","0.1827449569","0.0733627184","0.2820570859"
"AT1G16900","EBS3","0.177607355","0.0739923401","0.2834117238"
"AT5G23150","ART1|HUA2","0.1451130015","0.0740019777","0.2834117238"
"AT5G07220","ATBAG3|BAG3","-0.2380407413","0.0741209583","0.2836890115"
"AT1G21650","ANU1|SECA2","0.2176189506","0.0742002824","0.2837796311"
"AT3G52115","ATCOM1|ATGR1|COM1|GR1","0.3763090615","0.0744286493","0.2842683693"
"AT3G03950","ECT1","0.1505822001","0.07443956","0.2842683693"
"AT1G66700","PXMT1","0.8557499401","0.0746159298","0.284696529"
"AT1G62830","ATLSD1|ATSWP1|KDM1C|LDL1|LSD1|SWP1","0.2534420674","0.0747112678","0.284741244"
"AT5G09690","ATMGT7|MGT7|MRS2-7","0.1860850233","0.0748266325","0.285020836"
"AT4G14790","ATSUV3|EDA15|SUV3","0.2114857872","0.074865193","0.2851251221"
"AT5G13700","APAO|ATPAO1|PAO1","-0.3363096083","0.0749298738","0.2852010631"
"AT4G29340","AtPRF4|PRF4","-0.5089025182","0.0750237044","0.2853603163"
"AT4G39910","ATUBP3|UBP3","-0.0987978092","0.0751284703","0.2856584753"
"AT2G27530","PGY1","0.156811586","0.0754753379","0.2864647463"
"AT1G42540","ATGLR3.3|GLR3.3","0.2276928583","0.075561267","0.2867324581"
"AT1G03090","MCCA","-0.279317904","0.0756353957","0.2869441034"
"AT4G23640","ATKT3|KUP4|TRH1","-0.1229113206","0.0757432994","0.2872252599"
"AT5G50950","FUM2","0.7064017503","0.07581018","0.2873079623"
"AT5G13550","SULTR4;1","-0.2034468787","0.0761666992","0.2878035709"
"AT2G37710","LecRK-IV.1|RLK","-0.216566304","0.0761984508","0.2878808859"
"AT2G01350","QPT","-0.1496862514","0.0762860819","0.2881265763"
"AT4G20780","CML42","-0.3887243608","0.0764135844","0.2883371301"
"AT5G49620","AtMYB78|MYB78","-0.5014450618","0.0764437147","0.2883748218"
"AT2G15430","NRPB3|NRPD3|NRPE3A|RBP36A|RPB35.5A","0.1581809565","0.0765040566","0.2884798039"
"AT3G58780","AGL1|SHP1","-0.6176998898","0.0765500012","0.2885324565"
"AT3G10160","ATDFC|DFC|FPGS2","0.1563391015","0.0766937545","0.2889814321"
"AT4G15500","UGT84A4","-0.4258119023","0.0770222301","0.2897322727"
"AT4G26430","CSN6B","0.1888994815","0.0771375654","0.2899888727"
"AT1G48880","TBL7","0.2501704017","0.0771547732","0.2899888727"
"AT4G38630","ATMCB1|MBP1|MCB1|RPN10","0.1302236833","0.0772534021","0.2901896356"
"AT4G02390","APP|PARP2|PP","-0.3301602417","0.0773697429","0.2903616167"
"AT1G69670","ATCUL3B|CUL3B","0.1974416728","0.0776854506","0.2909807219"
"AT2G44490","BGLU26|PEN2","-0.3078989445","0.07801692","0.2918109763"
"AT1G10360","ATGSTU18|GST29|GSTU18","0.5710595541","0.07816991","0.292154821"
"AT5G10240","ASN3","0.1813915124","0.0783272907","0.292542736"
"AT2G42880","ATMPK20|MPK20","0.1273427472","0.0785258478","0.2929248722"
"AT3G61470","LHCA2","-0.6994167094","0.078596305","0.2930812062"
"AT4G15330","CYP705A1","0.3846897361","0.0785979013","0.2930812062"
"AT3G46130","ATMYB48|ATMYB48-1|ATMYB48-2|ATMYB48-3|MYB48","-0.4792766198","0.078893733","0.2936091202"
"AT1G74710","ATICS1|EDS16|ICS1|SID2","0.3724874919","0.0793054722","0.294386619"
"AT5G21482","ATCKX5|CKX7","0.3895217528","0.0797407101","0.2952042162"
"AT4G37200","HCF164","0.2039418512","0.0798248454","0.2952812867"
"AT2G34660","ABCC2|AtABCC2|ATMRP2|EST4|MRP2","0.2159284634","0.0800040353","0.2953511644"
"AT1G77380","AAP3|ATAAP3","-0.4426012019","0.0800371036","0.2954235768"
"AT5G17060","ARFB1B|ATARFB1B","-0.1506816305","0.0801168598","0.2955895949"
"AT1G78370","ATGSTU20|GSTU20","0.5993715475","0.0803623367","0.2962809228"
"AT1G49660","AtCXE5|CXE5","0.2278387431","0.0804654374","0.2964895553"
"AT1G59580","ATMPK2|MPK2","-0.1358143386","0.0809639739","0.2974735757"
"AT1G77590","LACS9","0.2167692707","0.0809658254","0.2974735757"
"AT3G53090","UPL7","-0.2090101834","0.0814411266","0.2987033724"
"AT5G54510","DFL1|GH3.6","-0.3405382437","0.0814727985","0.2987279401"
"AT1G78390","ATNCED9|NCED9","1.1006492861","0.0819907712","0.299985749"
"AT4G37650","EAL1|SGR7|SHR","0.224110378","0.0820938428","0.300190564"
"AT4G36730","AtGBF1|GBF1","-0.158100339","0.0823425968","0.3007852084"
"AT3G17880","ATHIP2|ATTDX|HIP|TDX","0.1375062828","0.0823980187","0.3007852084"
"AT1G61250","AtSCAMP1|SC3|SCAMP1","-0.1183337685","0.082432257","0.3007910252"
"AT4G18880","AT-HSFA4A|HSF","-0.3154823969","0.0824350021","0.3007910252"
"AT3G47470","CAB4|LHCA4","-0.3767705712","0.0824822826","0.3008343931"
"AT1G55730","ATCAX5|CAX5","-0.1679996122","0.0827853522","0.3014971126"
"AT4G24680","MOS1","0.1284246478","0.0827940538","0.3014971126"
"AT1G60940","SNRK2-10|SNRK2.10|SRK2B","-0.270954165","0.0828475039","0.3016056045"
"AT2G34630","GPPS|GPS1","0.1393723957","0.0830388575","0.3019573288"
"AT2G44190","EDE1|EMB3116|QWRF5","0.3408263131","0.0831931845","0.3022598772"
"AT2G23290","AtMYB70|MYB70","-0.2291079794","0.0833882304","0.3027410551"
"AT5G67310","CYP81G1","-0.962640426","0.0835337172","0.3030652704"
"AT1G74660","MIF1","0.2030447485","0.0837374626","0.3034159188"
"AT5G64410","ATOPT4|OPT4","-0.2370759235","0.0837539345","0.303420909"
"AT1G06310","ACX6","0.5342627384","0.0838414255","0.3035443592"
"AT3G18040","MPK9","0.1359586043","0.0841262325","0.304133089"
"AT1G23010","LPR1","0.4459707465","0.0843553293","0.3046536055"
"AT4G18730","RPL16B","0.1643358127","0.084952825","0.3059844794"
"AT5G37510","CI76|EMB1467","0.1051994444","0.0849560185","0.3059844794"
"AT1G22780","PFL|PFL1|RPS18A","0.1577778817","0.0849623545","0.3059844794"
"AT1G51710","ATUBP6|UBP6","0.1454672153","0.0850021937","0.3060847244"
"AT5G14250","COP13|CSN3|FUS11","0.1577078145","0.085198504","0.3064396366"
"AT5G47990","CYP705A5|THAD|THAD1","-0.784451279","0.0854813015","0.3068363053"
"AT5G42810","AtIP5|ATIPK1|IPK1","0.2003221999","0.0859125498","0.3078844969"
"AT5G26660","ATMYB86|MYB86","-0.4833372264","0.0864227535","0.3091644753"
"AT4G18480","CH-42|CH42|CHL11|CHLI-1|CHLI1|LOST1","0.3052522673","0.0867525565","0.3100637271"
"AT3G10380","ATSEC8|SEC8","0.1287115643","0.0867655332","0.3100637271"
"AT2G35630","GEM1|MOR1","0.1314787631","0.0867760121","0.3100637271"
"AT4G27370","ATVIIIB|VIIIB","0.3225502516","0.0870093423","0.3106236082"
"AT5G59300","ATUBC7|UBC7","0.1648379164","0.0870399955","0.3106587074"
"AT1G62260","MEF9","0.4437370215","0.0872067346","0.3110946101"
"AT3G14270","FAB1B","-0.1809848162","0.0872441264","0.3110946101"
"AT3G49670","BAM2","0.2966064708","0.0873422911","0.3112839829"
"AT4G35740","ATRECQ3|RecQl3","0.198561082","0.0874448216","0.3115366858"
"AT5G37780","ACAM-1|CAM1|TCH1","-0.1804142643","0.087539079","0.3117649683"
"AT3G21230","4CL5","0.2410345795","0.0877299336","0.3121205257"
"AT5G63980","ALX8|AtFRY1|ATSAL1|FRY1|HOS2|RON1|SAL1|SUPO1","0.2222218507","0.0877311086","0.3121205257"
"AT1G10460","GLP7","-0.5035145647","0.0878241149","0.3122428843"
"AT3G61890","ATHB-12|ATHB12|HB-12|HB12","-0.6800827277","0.0881218536","0.3128869615"
"AT2G30860","ATGSTF7|ATGSTF9|GLUTTR|GSTF9","0.2789722665","0.0881428757","0.3128869615"
"AT2G42790","CSY3","-0.1623075456","0.0882030871","0.3130135443"
"AT3G59970","MTHFR1","0.172556119","0.0882440939","0.3131154891"
"AT5G59710","AtVIP2|NOT2b|VIP2","0.1223829863","0.0883783057","0.3134212656"
"AT2G41220","GLU2","0.1350057486","0.0883794376","0.3134212656"
"AT1G04160","ATXIB|XI-8|XI-B|XIB","-0.2393913758","0.0885610269","0.3138033718"
"AT3G54090","FLN1","0.2842099409","0.088631677","0.3140100736"
"AT1G14660","ATNHX8|NHX8","-0.2749402624","0.0887249454","0.3141222796"
"AT4G19660","ATNPR4|NPR4","-0.1969922166","0.0887961814","0.3142872063"
"AT1G65800","ARK2|AtARK2|RK2","1.490312629","0.0889496722","0.3146557633"
"AT4G17640","CKB2","0.0814681798","0.0892212551","0.3152665692"
"AT3G59100","ATGSL11|gsl11|GSL11","0.2242698555","0.0895724147","0.3159819355"
"AT3G52400","ATSYP122|SYP122","-0.3728433333","0.0896878738","0.316214243"
"AT1G21450","SCL1","-0.1714235652","0.0898280329","0.3165333311"
"AT3G12380","ARP5|ATARP5","0.1418857025","0.0898505468","0.3165689156"
"AT2G27100","SE|SERRATE","0.1292061319","0.0899941649","0.3168560091"
"AT3G05590","RPL18","0.1576052496","0.09002929","0.3168706726"
"AT5G01500","TAAC","0.2246467444","0.0900728934","0.3168706726"
"AT2G18260","ATSYP112|SYP112","-0.780131065","0.0902699819","0.3172138918"
"AT4G21590","ENDO3","0.6280943085","0.0903072708","0.3172574801"
"AT1G51590","MANIB|MNS1","0.1332725213","0.0904422445","0.317519603"
"AT2G05840","PAA2","0.1385704296","0.0906533068","0.3179209421"
"AT4G16130","ARA1|ATISA1|ISA1","-0.2195179516","0.0907141094","0.3179420427"
"AT3G02780","IDI2|IPIAT1|IPP2","-0.1571941918","0.0908320389","0.3180493448"
"AT1G80070","EMB14|EMB177|EMB33|PRP8|SUS2","0.1486606507","0.0912226139","0.3190664209"
"AT3G63010","ATGID1B|GID1B","-0.1935138005","0.0915053962","0.3197484708"
"AT2G31110","TBL40","0.2637125213","0.0915676627","0.319820707"
"AT4G19680","ATIRT2|IRT2","-0.705543658","0.0917044711","0.3200931696"
"AT3G21740","APO4","0.1597881584","0.0921403181","0.3209116009"
"AT1G01790","ATKEA1|KEA1","0.2701721597","0.0922158538","0.3211103944"
"AT5G20020","RAN2","0.1345341413","0.0922351764","0.3211103944"
"AT4G15950","NRPD4|NRPE4|RDM2","0.2615554181","0.0923194504","0.3212399561"
"AT1G17560","HLL","0.3002002948","0.0924676602","0.3216123857"
"AT1G56170","ATHAP5B|HAP5B|NF-YC2","-0.5188665776","0.092736936","0.3221095757"
"AT5G42540","AtXRN2|XRN2","0.1264254864","0.0927862364","0.3222369186"
"AT1G11790","ADT1|AtADT1","0.2277996624","0.0928245826","0.3222822996"
"AT4G08980","FBW2|SKIP18","0.0930964646","0.0929083944","0.3224265118"
"AT1G61040","VIP5","-0.123336222","0.0931258399","0.3230203599"
"AT4G22890","PGR5-LIKE","0.2281754869","0.0933195335","0.3234282269"
"AT1G70060","SNL4","0.1268579851","0.0934560442","0.3235934566"
"AT2G01270","AtQSOX2|QSOX2","0.0870301626","0.0947382338","0.3267116211"
"AT3G02580","BUL1|DWF7|STE1","-0.1206406037","0.0950542318","0.3275703206"
"AT5G20990","B73|CHL6|CNX|CNX1|SIR4","-0.1171271437","0.0951055285","0.327702806"
"AT1G70610","ABCB26|ATTAP1|TAP1","0.2108914176","0.0951866664","0.3278051892"
"AT5G59520","AtZIP2|ZIP2","-0.4034433761","0.0958415814","0.3293932664"
"AT2G36070","ATTIM44-2|TIM44-2","0.1525351969","0.0963702733","0.3307380077"
"AT5G18580","EMB40|FASS|FS1|GDO|TON2","0.0892702841","0.0964679656","0.3307380077"
"AT2G39940","COI1","0.1124376938","0.0964910401","0.3307380077"
"AT3G22900","NRPD7","0.3205512455","0.0965499713","0.3308023607"
"AT2G22090","UBA1A","-0.1690523895","0.0967188117","0.3311583537"
"AT4G18710","ATSK21|BIN2|DWF12|SK21|UCU1","-0.1245529777","0.0968000093","0.3312788438"
"AT5G52830","ATWRKY27|WRKY27","-0.2347004188","0.0968084622","0.3312788438"
"AT4G02060","MCM7|PRL","0.2672110833","0.0968115077","0.3312788438"
"AT5G16790","AtTHO7|THO7","0.3764884092","0.0968915332","0.3313647407"
"AT4G11460","CRK30","1.0275303838","0.097904603","0.3337395142"
"AT3G25110","AtFaTA|FaTA|FATA1","0.186754643","0.0980509248","0.3340596582"
"AT3G06080","TBL10","0.2151094862","0.0981383947","0.3341790584"
"AT2G15390","atfut4|FUT4","-0.3882983379","0.098605626","0.3348576387"
"AT1G78870","UBC13A|UBC35","-0.1094771102","0.0987364979","0.3350823836"
"AT4G25130","MSRA4|PMSR4","-0.1214256963","0.0987808388","0.3351136013"
"AT4G01900","GLB1|PII","0.2388299219","0.0989513556","0.3354218215"
"AT2G23350","PAB4|PABP4","0.1684045036","0.0991300956","0.3357390363"
"AT2G33740","CUTA","-0.1661062013","0.0991553665","0.3357390363"
"AT5G27670","h2a.w.7|HTA7","-0.1250650821","0.0991753477","0.3357390363"
"AT1G60440","ATCOAA|ATPANK1|PANK1","-0.143123642","0.099486906","0.336300826"
"AT2G03710","AGL3|SEP4","0.9277515114","0.0996377412","0.3365430023"
"AT1G29400","AML5|ML5","-0.1478060633","0.1000116422","0.3371283706"
"AT1G03190","ATXPD|UVH6","0.1920559314","0.1001680124","0.3375738805"
"AT1G16150","WAKL4","-0.4223697906","0.1010302885","0.3393137903"
"AT3G13490","ATKRS-2|OVA5","0.1296735447","0.1011014005","0.3394185002"
"AT5G27600","ATLACS7|LACS7","-0.1677617761","0.1011442477","0.3394729535"
"AT3G11570","TBL8","-0.3260607329","0.1014953228","0.3402034626"
"AT5G57630","CIPK21|SnRK3.4","-0.2670952431","0.102003115","0.3411879086"
"AT5G15650","ATRGP2|MUR5|RGP2","-0.146242309","0.1021274474","0.3414246301"
"AT3G15352","ATCOX17|COX17","0.1968144033","0.1022284698","0.3415384595"
"AT3G06910","AtULP1a|ELS1|ULP1A","0.2058001177","0.1023262797","0.3416842845"
"AT2G42620","AtMAX2|MAX2|ORE9|PPS","-0.1962746355","0.1024300834","0.3418089604"
"AT4G00970","CRK41","1.3847492268","0.1027953161","0.3426394179"
"AT1G53580","ETHE1|GLX2-3|GLY3","-0.2653249695","0.1032725843","0.3435232113"
"AT4G27710","CYP709B3","-0.2360645777","0.1033178975","0.3436024196"
"AT1G75130","CYP721A1","-0.1632450953","0.1033845918","0.3436449384"
"AT2G29400","PP1-AT|TOPP1","-0.1109151437","0.1035511224","0.3441536128"
"AT5G23860","TUB8","0.1610190653","0.1039360387","0.3445784588"
"AT5G40890","ATCLC-A|ATCLCA|CLC-A|CLCA","0.1866794088","0.1040668217","0.3448566654"
"AT2G02710","PLP|PLPA|PLPB|PLPC","-0.2515243136","0.104185234","0.3451364292"
"AT4G11360","RHA1B","-0.4140409628","0.1042719566","0.3452270482"
"AT2G25850","PAPS2","-0.1264459628","0.1042802857","0.3452270482"
"AT1G71820","SEC6","-0.1092765068","0.1043896359","0.3453014229"
"AT2G33560","BUBR1","0.3528309606","0.1051006845","0.3469520007"
"AT1G65980","TPX1","-0.1346215142","0.1053912266","0.3472907826"
